c00037 lda $808000,x [808012] A:3012 X:0012 Y:0004 S:01e9 D:0000 DB:00 nvmXdizc V: 13 H:1292 F:14
c0003b sta $a5       [0000a5] A:a000 X:0012 Y:0004 S:01e9 D:0000 DB:00 NvmXdizc V: 13 H:1328 F:14
c0003d sep #$20               A:a000 X:0012 Y:0004 S:01e9 D:0000 DB:00 NvmXdizc V: 13 H:1356 F:14
c0003f lda $808002,x [808014] A:a000 X:0012 Y:0004 S:01e9 D:0000 DB:00 NvMXdizc V: 14 H:  10 F:14
c00043 sta $a7       [0000a7] A:a0d1 X:0012 Y:0004 S:01e9 D:0000 DB:00 NvMXdizc V: 14 H:  40 F:14
c00045 pla                    A:a0d1 X:0012 Y:0004 S:01e9 D:0000 DB:00 NvMXdizc V: 14 H:  60 F:14
c00046 rep #$30               A:a078 X:0012 Y:0004 S:01ea D:0000 DB:00 nvMXdizc V: 14 H:  86 F:14
c00048 and #$00ff             A:a078 X:0012 Y:0004 S:01ea D:0000 DB:00 nvmxdizc V: 14 H: 104 F:14
c0004b asl a                  A:0078 X:0012 Y:0004 S:01ea D:0000 DB:00 nvmxdizc V: 14 H: 122 F:14
c0004c tay                    A:00f0 X:0012 Y:0004 S:01ea D:0000 DB:00 nvmxdizc V: 14 H: 134 F:14
c0004d lda [$a5],y   [d1a0f0] A:00f0 X:0012 Y:00f0 S:01ea D:0000 DB:00 nvmxdizc V: 14 H: 146 F:14
c0004f sta $a5       [0000a5] A:b115 X:0012 Y:00f0 S:01ea D:0000 DB:00 Nvmxdizc V: 14 H: 194 F:14
c00051 sep #$30               A:b115 X:0012 Y:00f0 S:01ea D:0000 DB:00 Nvmxdizc V: 14 H: 222 F:14
c00053 stz $0343     [000343] A:b115 X:0012 Y:00f0 S:01ea D:0000 DB:00 NvMXdizc V: 14 H: 240 F:14
c00056 lda $1d28     [001d28] A:b115 X:0012 Y:00f0 S:01ea D:0000 DB:00 NvMXdizc V: 14 H: 266 F:14
c00059 sta $0344     [000344] A:b116 X:0012 Y:00f0 S:01ea D:0000 DB:00 nvMXdizc V: 14 H: 292 F:14
c0005c lda $1d2a     [001d2a] A:b116 X:0012 Y:00f0 S:01ea D:0000 DB:00 nvMXdizc V: 14 H: 318 F:14
c0005f sta $0345     [000345] A:b106 X:0012 Y:00f0 S:01ea D:0000 DB:00 nvMXdizc V: 14 H: 344 F:14
c00062 ldy #$00               A:b106 X:0012 Y:00f0 S:01ea D:0000 DB:00 nvMXdizc V: 14 H: 370 F:14
c00064 lda [$a5],y   [d1b115] A:b106 X:0012 Y:0000 S:01ea D:0000 DB:00 nvMXdiZc V: 14 H: 382 F:14
c00066 sta $1d34     [001d34] A:b106 X:0012 Y:0000 S:01ea D:0000 DB:00 nvMXdizc V: 14 H: 424 F:14
c00069 bne $006e     [c0006e] A:b106 X:0012 Y:0000 S:01ea D:0000 DB:00 nvMXdizc V: 14 H: 450 F:14
c0006e iny                    A:b106 X:0012 Y:0000 S:01ea D:0000 DB:00 nvMXdizc V: 14 H: 468 F:14
c0006f lda [$a5],y   [d1b116] A:b106 X:0012 Y:0001 S:01ea D:0000 DB:00 nvMXdizc V: 14 H: 480 F:14
c00071 sta $1d35     [001d35] A:b102 X:0012 Y:0001 S:01ea D:0000 DB:00 nvMXdizc V: 14 H: 522 F:14
c00074 iny                    A:b102 X:0012 Y:0001 S:01ea D:0000 DB:00 nvMXdizc V: 14 H: 588 F:14
c00075 lda $0341     [000341] A:b102 X:0012 Y:0002 S:01ea D:0000 DB:00 nvMXdizc V: 14 H: 600 F:14
c00078 bit #$02               A:b102 X:0012 Y:0002 S:01ea D:0000 DB:00 nvMXdizc V: 14 H: 626 F:14
c0007a bne $009e     [c0009e] A:b102 X:0012 Y:0002 S:01ea D:0000 DB:00 nvMXdizc V: 14 H: 638 F:14
c0009e lda $0344     [000344] A:b102 X:0012 Y:0002 S:01ea D:0000 DB:00 nvMXdizc V: 14 H: 656 F:14
c000a1 sta $1d28     [001d28] A:b116 X:0012 Y:0002 S:01ea D:0000 DB:00 nvMXdizc V: 14 H: 682 F:14
c000a4 lda $0345     [000345] A:b116 X:0012 Y:0002 S:01ea D:0000 DB:00 nvMXdizc V: 14 H: 708 F:14
c000a7 sta $1d2a     [001d2a] A:b106 X:0012 Y:0002 S:01ea D:0000 DB:00 nvMXdizc V: 14 H: 734 F:14
