c00037 lda $808000,x [808012] A:3012 X:0012 Y:0004 S:01e9 D:0000 DB:00 nvmXdizc V:143 H: 330 F:15
c0003b sta $a5       [0000a5] A:a000 X:0012 Y:0004 S:01e9 D:0000 DB:00 NvmXdizc V:143 H: 366 F:15
c0003d sep #$20               A:a000 X:0012 Y:0004 S:01e9 D:0000 DB:00 NvmXdizc V:143 H: 394 F:15
c0003f lda $808002,x [808014] A:a000 X:0012 Y:0004 S:01e9 D:0000 DB:00 NvMXdizc V:143 H: 412 F:15
c00043 sta $a7       [0000a7] A:a0d1 X:0012 Y:0004 S:01e9 D:0000 DB:00 NvMXdizc V:143 H: 442 F:15
c00045 pla                    A:a0d1 X:0012 Y:0004 S:01e9 D:0000 DB:00 NvMXdizc V:143 H: 462 F:15
c00046 rep #$30               A:a081 X:0012 Y:0004 S:01ea D:0000 DB:00 NvMXdizc V:143 H: 488 F:15
c00048 and #$00ff             A:a081 X:0012 Y:0004 S:01ea D:0000 DB:00 Nvmxdizc V:143 H: 506 F:15
c0004b asl a                  A:0081 X:0012 Y:0004 S:01ea D:0000 DB:00 nvmxdizc V:143 H: 524 F:15
c0004c tay                    A:0102 X:0012 Y:0004 S:01ea D:0000 DB:00 nvmxdizc V:143 H: 536 F:15
c0004d lda [$a5],y   [d1a102] A:0102 X:0012 Y:0102 S:01ea D:0000 DB:00 nvmxdizc V:143 H: 588 F:15
c0004f sta $a5       [0000a5] A:b214 X:0012 Y:0102 S:01ea D:0000 DB:00 Nvmxdizc V:143 H: 636 F:15
c00051 sep #$30               A:b214 X:0012 Y:0102 S:01ea D:0000 DB:00 Nvmxdizc V:143 H: 664 F:15
c00053 stz $0343     [000343] A:b214 X:0012 Y:0002 S:01ea D:0000 DB:00 NvMXdizc V:143 H: 682 F:15
c00056 lda $1d28     [001d28] A:b214 X:0012 Y:0002 S:01ea D:0000 DB:00 NvMXdizc V:143 H: 708 F:15
c00059 sta $0344     [000344] A:b216 X:0012 Y:0002 S:01ea D:0000 DB:00 nvMXdizc V:143 H: 734 F:15
c0005c lda $1d2a     [001d2a] A:b216 X:0012 Y:0002 S:01ea D:0000 DB:00 nvMXdizc V:143 H: 760 F:15
c0005f sta $0345     [000345] A:b20f X:0012 Y:0002 S:01ea D:0000 DB:00 nvMXdizc V:143 H: 786 F:15
c00062 ldy #$00               A:b20f X:0012 Y:0002 S:01ea D:0000 DB:00 nvMXdizc V:143 H: 812 F:15
c00064 lda [$a5],y   [d1b214] A:b20f X:0012 Y:0000 S:01ea D:0000 DB:00 nvMXdiZc V:143 H: 824 F:15
c00066 sta $1d34     [001d34] A:b208 X:0012 Y:0000 S:01ea D:0000 DB:00 nvMXdizc V:143 H: 866 F:15
c00069 bne $006e     [c0006e] A:b208 X:0012 Y:0000 S:01ea D:0000 DB:00 nvMXdizc V:143 H: 892 F:15
c0006e iny                    A:b208 X:0012 Y:0000 S:01ea D:0000 DB:00 nvMXdizc V:143 H: 910 F:15
c0006f lda [$a5],y   [d1b215] A:b208 X:0012 Y:0001 S:01ea D:0000 DB:00 nvMXdizc V:143 H: 922 F:15
c00071 sta $1d35     [001d35] A:b202 X:0012 Y:0001 S:01ea D:0000 DB:00 nvMXdizc V:143 H: 964 F:15
c00074 iny                    A:b202 X:0012 Y:0001 S:01ea D:0000 DB:00 nvMXdizc V:143 H: 990 F:15
c00075 lda $0341     [000341] A:b202 X:0012 Y:0002 S:01ea D:0000 DB:00 nvMXdizc V:143 H:1002 F:15
c00078 bit #$02               A:b202 X:0012 Y:0002 S:01ea D:0000 DB:00 nvMXdizc V:143 H:1028 F:15
c0007a bne $009e     [c0009e] A:b202 X:0012 Y:0002 S:01ea D:0000 DB:00 nvMXdizc V:143 H:1040 F:15
c0009e lda $0344     [000344] A:b202 X:0012 Y:0002 S:01ea D:0000 DB:00 nvMXdizc V:143 H:1058 F:15
c000a1 sta $1d28     [001d28] A:b216 X:0012 Y:0002 S:01ea D:0000 DB:00 nvMXdizc V:143 H:1084 F:15
c000a4 lda $0345     [000345] A:b216 X:0012 Y:0002 S:01ea D:0000 DB:00 nvMXdizc V:143 H:1110 F:15
c000a7 sta $1d2a     [001d2a] A:b20f X:0012 Y:0002 S:01ea D:0000 DB:00 nvMXdizc V:143 H:1136 F:15
c000aa iny                    A:b20f X:0012 Y:0002 S:01ea D:0000 DB:00 nvMXdizc V:143 H:1162 F:15
c000ab iny                    A:b20f X:0012 Y:0003 S:01ea D:0000 DB:00 nvMXdizc V:143 H:1174 F:15
c000ac lda $0343     [000343] A:b20f X:0012 Y:0004 S:01ea D:0000 DB:00 nvMXdizc V:143 H:1186 F:15
c000af beq $00c8     [c000c8] A:b200 X:0012 Y:0004 S:01ea D:0000 DB:00 nvMXdiZc V:143 H:1212 F:15
c000c8 lda [$a5],y   [d1b218] A:b200 X:0012 Y:0004 S:01ea D:0000 DB:00 nvMXdiZc V:143 H:1230 F:15
c000ca sta $0342     [000342] A:b200 X:0012 Y:0004 S:01ea D:0000 DB:00 nvMXdiZc V:143 H:1272 F:15
c000cd iny                    A:b200 X:0012 Y:0004 S:01ea D:0000 DB:00 nvMXdiZc V:143 H:1298 F:15
c000ce lda $0341     [000341] A:b200 X:0012 Y:0005 S:01ea D:0000 DB:00 nvMXdizc V:143 H:1310 F:15
c000d1 bit #$01               A:b202 X:0012 Y:0005 S:01ea D:0000 DB:00 nvMXdizc V:143 H:1336 F:15
c000d3 beq $00de     [c000de] A:b202 X:0012 Y:0005 S:01ea D:0000 DB:00 nvMXdiZc V:143 H:1348 F:15
c000de clc                    A:b202 X:0012 Y:0005 S:01ea D:0000 DB:00 nvMXdiZc V:144 H:   2 F:15
c000df tya                    A:b202 X:0012 Y:0005 S:01ea D:0000 DB:00 nvMXdiZc V:144 H:  14 F:15
c000e0 adc $a5       [0000a5] A:b205 X:0012 Y:0005 S:01ea D:0000 DB:00 nvMXdizc V:144 H:  26 F:15
c000e2 sta $a5       [0000a5] A:b219 X:0012 Y:0005 S:01ea D:0000 DB:00 nvMXdizc V:144 H:  46 F:15
c000e4 lda #$00               A:b219 X:0012 Y:0005 S:01ea D:0000 DB:00 nvMXdizc V:144 H:  66 F:15
c000e6 adc $a6       [0000a6] A:b200 X:0012 Y:0005 S:01ea D:0000 DB:00 nvMXdiZc V:144 H:  78 F:15
c000e8 sta $a6       [0000a6] A:b2b2 X:0012 Y:0005 S:01ea D:0000 DB:00 NvMXdizc V:144 H:  98 F:15
c000ea jsl $c01cb0   [c01cb0] A:b2b2 X:0012 Y:0005 S:01ea D:0000 DB:00 NvMXdizc V:144 H: 118 F:15
c01cb0 phx                    A:b2b2 X:0012 Y:0005 S:01e7 D:0000 DB:00 NvMXdizc V:144 H: 172 F:15
c01cb1 rep #$20               A:b2b2 X:0012 Y:0005 S:01e6 D:0000 DB:00 NvMXdizc V:144 H: 192 F:15
c01cb3 lda $a5       [0000a5] A:b2b2 X:0012 Y:0005 S:01e6 D:0000 DB:00 NvmXdizc V:144 H: 210 F:15
c01cb5 sta $60       [000060] A:b219 X:0012 Y:0005 S:01e6 D:0000 DB:00 NvmXdizc V:144 H: 238 F:15
