c00037 lda $808000,x [808012] A:3012 X:0012 Y:0004 S:01e9 D:0000 DB:00 nvmXdizc V: 76 H: 280 F:15
c0003b sta $a5       [0000a5] A:a000 X:0012 Y:0004 S:01e9 D:0000 DB:00 NvmXdizc V: 76 H: 316 F:15
c0003d sep #$20               A:a000 X:0012 Y:0004 S:01e9 D:0000 DB:00 NvmXdizc V: 76 H: 344 F:15
c0003f lda $808002,x [808014] A:a000 X:0012 Y:0004 S:01e9 D:0000 DB:00 NvMXdizc V: 76 H: 362 F:15
c00043 sta $a7       [0000a7] A:a0d1 X:0012 Y:0004 S:01e9 D:0000 DB:00 NvMXdizc V: 76 H: 392 F:15
c00045 pla                    A:a0d1 X:0012 Y:0004 S:01e9 D:0000 DB:00 NvMXdizc V: 76 H: 412 F:15
c00046 rep #$30               A:a07a X:0012 Y:0004 S:01ea D:0000 DB:00 nvMXdizc V: 76 H: 438 F:15
c00048 and #$00ff             A:a07a X:0012 Y:0004 S:01ea D:0000 DB:00 nvmxdizc V: 76 H: 456 F:15
c0004b asl a                  A:007a X:0012 Y:0004 S:01ea D:0000 DB:00 nvmxdizc V: 76 H: 474 F:15
c0004c tay                    A:00f4 X:0012 Y:0004 S:01ea D:0000 DB:00 nvmxdizc V: 76 H: 486 F:15
c0004d lda [$a5],y   [d1a0f4] A:00f4 X:0012 Y:00f4 S:01ea D:0000 DB:00 nvmxdizc V: 76 H: 498 F:15
c0004f sta $a5       [0000a5] A:b14d X:0012 Y:00f4 S:01ea D:0000 DB:00 Nvmxdizc V: 76 H: 586 F:15
c00051 sep #$30               A:b14d X:0012 Y:00f4 S:01ea D:0000 DB:00 Nvmxdizc V: 76 H: 614 F:15
c00053 stz $0343     [000343] A:b14d X:0012 Y:00f4 S:01ea D:0000 DB:00 NvMXdizc V: 76 H: 632 F:15
c00056 lda $1d28     [001d28] A:b14d X:0012 Y:00f4 S:01ea D:0000 DB:00 NvMXdizc V: 76 H: 658 F:15
c00059 sta $0344     [000344] A:b116 X:0012 Y:00f4 S:01ea D:0000 DB:00 nvMXdizc V: 76 H: 684 F:15
c0005c lda $1d2a     [001d2a] A:b116 X:0012 Y:00f4 S:01ea D:0000 DB:00 nvMXdizc V: 76 H: 710 F:15
c0005f sta $0345     [000345] A:b10c X:0012 Y:00f4 S:01ea D:0000 DB:00 nvMXdizc V: 76 H: 736 F:15
c00062 ldy #$00               A:b10c X:0012 Y:00f4 S:01ea D:0000 DB:00 nvMXdizc V: 76 H: 762 F:15
c00064 lda [$a5],y   [d1b14d] A:b10c X:0012 Y:0000 S:01ea D:0000 DB:00 nvMXdiZc V: 76 H: 774 F:15
c00066 sta $1d34     [001d34] A:b108 X:0012 Y:0000 S:01ea D:0000 DB:00 nvMXdizc V: 76 H: 816 F:15
c00069 bne $006e     [c0006e] A:b108 X:0012 Y:0000 S:01ea D:0000 DB:00 nvMXdizc V: 76 H: 842 F:15
c0006e iny                    A:b108 X:0012 Y:0000 S:01ea D:0000 DB:00 nvMXdizc V: 76 H: 860 F:15
c0006f lda [$a5],y   [d1b14e] A:b108 X:0012 Y:0001 S:01ea D:0000 DB:00 nvMXdizc V: 76 H: 872 F:15
c00071 sta $1d35     [001d35] A:b102 X:0012 Y:0001 S:01ea D:0000 DB:00 nvMXdizc V: 76 H: 914 F:15
c00074 iny                    A:b102 X:0012 Y:0001 S:01ea D:0000 DB:00 nvMXdizc V: 76 H: 940 F:15
c00075 lda $0341     [000341] A:b102 X:0012 Y:0002 S:01ea D:0000 DB:00 nvMXdizc V: 76 H: 952 F:15
c00078 bit #$02               A:b102 X:0012 Y:0002 S:01ea D:0000 DB:00 nvMXdizc V: 76 H: 978 F:15
c0007a bne $009e     [c0009e] A:b102 X:0012 Y:0002 S:01ea D:0000 DB:00 nvMXdizc V: 76 H: 990 F:15
c0009e lda $0344     [000344] A:b102 X:0012 Y:0002 S:01ea D:0000 DB:00 nvMXdizc V: 76 H:1008 F:15
c000a1 sta $1d28     [001d28] A:b116 X:0012 Y:0002 S:01ea D:0000 DB:00 nvMXdizc V: 76 H:1034 F:15
c000a4 lda $0345     [000345] A:b116 X:0012 Y:0002 S:01ea D:0000 DB:00 nvMXdizc V: 76 H:1060 F:15
