c00037 lda $808000,x [808012] A:3012 X:0012 Y:0004 S:01e9 D:0000 DB:00 nvmXdizc V: 12 H: 500 F:15
c0003b sta $a5       [0000a5] A:a000 X:0012 Y:0004 S:01e9 D:0000 DB:00 NvmXdizc V: 12 H: 576 F:15
c0003d sep #$20               A:a000 X:0012 Y:0004 S:01e9 D:0000 DB:00 NvmXdizc V: 12 H: 604 F:15
c0003f lda $808002,x [808014] A:a000 X:0012 Y:0004 S:01e9 D:0000 DB:00 NvMXdizc V: 12 H: 622 F:15
c00043 sta $a7       [0000a7] A:a0d1 X:0012 Y:0004 S:01e9 D:0000 DB:00 NvMXdizc V: 12 H: 652 F:15
c00045 pla                    A:a0d1 X:0012 Y:0004 S:01e9 D:0000 DB:00 NvMXdizc V: 12 H: 672 F:15
c00046 rep #$30               A:a003 X:0012 Y:0004 S:01ea D:0000 DB:00 nvMXdizc V: 12 H: 698 F:15
c00048 and #$00ff             A:a003 X:0012 Y:0004 S:01ea D:0000 DB:00 nvmxdizc V: 12 H: 716 F:15
c0004b asl a                  A:0003 X:0012 Y:0004 S:01ea D:0000 DB:00 nvmxdizc V: 12 H: 734 F:15
c0004c tay                    A:0006 X:0012 Y:0004 S:01ea D:0000 DB:00 nvmxdizc V: 12 H: 746 F:15
c0004d lda [$a5],y   [d1a006] A:0006 X:0012 Y:0006 S:01ea D:0000 DB:00 nvmxdizc V: 12 H: 758 F:15
c0004f sta $a5       [0000a5] A:a216 X:0012 Y:0006 S:01ea D:0000 DB:00 Nvmxdizc V: 12 H: 806 F:15
c00051 sep #$30               A:a216 X:0012 Y:0006 S:01ea D:0000 DB:00 Nvmxdizc V: 12 H: 834 F:15
c00053 stz $0343     [000343] A:a216 X:0012 Y:0006 S:01ea D:0000 DB:00 NvMXdizc V: 12 H: 852 F:15
c00056 lda $1d28     [001d28] A:a216 X:0012 Y:0006 S:01ea D:0000 DB:00 NvMXdizc V: 12 H: 878 F:15
c00059 sta $0344     [000344] A:a216 X:0012 Y:0006 S:01ea D:0000 DB:00 nvMXdizc V: 12 H: 904 F:15
c0005c lda $1d2a     [001d2a] A:a216 X:0012 Y:0006 S:01ea D:0000 DB:00 nvMXdizc V: 12 H: 930 F:15
c0005f sta $0345     [000345] A:a209 X:0012 Y:0006 S:01ea D:0000 DB:00 nvMXdizc V: 12 H: 956 F:15
c00062 ldy #$00               A:a209 X:0012 Y:0006 S:01ea D:0000 DB:00 nvMXdizc V: 12 H: 982 F:15
c00064 lda [$a5],y   [d1a216] A:a209 X:0012 Y:0000 S:01ea D:0000 DB:00 nvMXdiZc V: 12 H: 994 F:15
c00066 sta $1d34     [001d34] A:a202 X:0012 Y:0000 S:01ea D:0000 DB:00 nvMXdizc V: 12 H:1036 F:15
