Compare Type," ""Source Offset"""," ""Source Count (dec)"""," ""Source Count (hex)"""," ""Target Offset"""," ""Target Count (dec)"""," ""Target Count (hex)"""
Matched,0,2832, 0B10,0,2832, 0B10
Replaced, 00000B10,1,1, 00000B10,1,1
Matched, 00000B11,68,44, 00000B11,68,44
Replaced, 00000B55,6,6, 00000B55,6,6
Matched, 00000B5B,9051, 235B, 00000B5B,9051, 235B
Replaced, 00002EB6,1,1, 00002EB6,1,1
Matched, 00002EB7,591, 024F, 00002EB7,591, 024F
Replaced,3106,25,19,3106,25,19
Matched, 0000311F,43, 2B, 0000311F,43, 2B
Replaced, 0000314A,1,1, 0000314A,1,1
Matched, 0000314B,49,31, 0000314B,49,31
Replaced, 0000317C,79, 4F, 0000317C,85,55
Matched, 000031CB,50,32, 000031D1,50,32
Replaced, 000031FD,1,1,3203,1,1
Matched, 000031FE,110, 6E,3204,110, 6E
Replaced, 0000326C,1,1,3272,1,1
Matched, 0000326D,72,48,3273,72,48
Replaced, 000032B5,1,1, 000032BB,1,1
Matched, 000032B6,180, B4, 000032BC,180, B4
Replaced, 0000336A,1,1,3370,1,1
Matched, 0000336B,56,38,3371,56,38
Replaced, 000033A3,1,1, 000033A9,1,1
Matched, 000033A4,52,34, 000033AA,52,34
Replaced, 000033D8,1,1, 000033DE,1,1
Matched, 000033D9,40,28, 000033DF,40,28
Replaced,3401,1,1,3407,1,1
Matched,3402,37,25,3408,37,25
Replaced,3427,1,1, 0000342D,1,1
Matched,3428,144,90, 0000342E,144,90
Replaced, 000034B8,1,1, 000034BE,1,1
Matched, 000034B9,56,38, 000034BF,56,38
Replaced, 000034F1,1,1, 000034F7,1,1
Matched, 000034F2,87,57, 000034F8,87,57
Replaced,3549,36,24, 0000354F,36,24
Matched, 0000356D,40,28,3573,40,28
Replaced,3595,26, 1A, 0000359B,26, 1A
Matched, 000035AF,67,43, 000035B5,67,43
Replaced, 000035F2,7,7, 000035F8,7,7
Matched, 000035F9,67,43, 000035FF,67,43
Replaced, 0000363C,24,18,3642,24,18
Matched,3654,300, 012C, 0000365A,300, 012C
Replaced,3780,58, 3A,3786,58, 3A
Matched, 000037BA,92, 5C, 000037C0,92, 5C
Replaced,3816,1,1, 0000381C,1,1
Matched,3817,44, 2C, 0000381D,44, 2C
Replaced,3843,1,1,3849,1,1
Matched,3844,32,20, 0000384A,32,20
Replaced,3864,1,1, 0000386A,1,1
Matched,3865,110, 6E, 0000386B,110, 6E
Replaced, 000038D3,1,1, 000038D9,1,1
Matched, 000038D4,92, 5C, 000038DA,92, 5C
Replaced,3930,1,1,3936,1,1
Matched,3931,76, 4C,3937,76, 4C
Replaced, 0000397D,23,17,3983,23,17
Matched,3994,121,79, 0000399A,121,79
Replaced, 00003A0D,1,1, 00003A13,1,1
Matched, 00003A0E,74, 4A, 00003A14,74, 4A
Replaced, 00003A58,8,8, 00003A5E,8,8
Matched, 00003A60,45, 2D, 00003A66,45, 2D
Replaced, 00003A8D,1,1, 00003A93,1,1
Matched, 00003A8E,34,22, 00003A94,34,22
Replaced, 00003AB0,1,1, 00003AB6,1,1
Matched, 00003AB1,33,21, 00003AB7,33,21
Replaced, 00003AD2,1,1, 00003AD8,1,1
Matched, 00003AD3,106, 6A, 00003AD9,106, 6A
Replaced, 00003B3D,16,10, 00003B43,16,10
Matched, 00003B4D,97,61, 00003B53,97,61
Replaced, 00003BAE,23,17, 00003BB4,23,17
Matched, 00003BC5,250, FA, 00003BCB,250, FA
Replaced, 00003CBF,1,1, 00003CC5,1,1
Matched, 00003CC0,135,87, 00003CC6,135,87
Replaced, 00003D47,8,8, 00003D4D,8,8
Matched, 00003D4F,57,39, 00003D55,57,39
Replaced, 00003D88,1,1, 00003D8E,1,1
Matched, 00003D89,55,37, 00003D8F,55,37
Replaced, 00003DC0,28, 1C, 00003DC6,28, 1C
Matched, 00003DDC,1190, 04A6, 00003DE2,1190, 04A6
Replaced,4282,6,6,4288,6,6
Matched,4288,224, E0, 0000428E,224, E0
Replaced,4368,23,17, 0000436E,23,17
Matched, 0000437F,33,21,4385,33,21
Replaced, 000043A0,1,1, 000043A6,1,1
Matched, 000043A1,40,28, 000043A7,40,28
Replaced, 000043C9,19,13, 000043CF,19,13
Matched, 000043DC,324,144,4.30E+03,324,144
Replaced,4520,1,1,4526,1,1
Matched,4521,112,70,4527,112,70
Replaced,4591,13, 0D,4597,13, 0D
Matched, 0000459E,78, 4E, 000045A4,78, 4E
Replaced, 000045EC,1,1, 000045F2,1,1
Matched, 000045ED,94, 5E, 000045F3,94, 5E
Replaced, 0000464B,62, 3E,4651,62, 3E
Matched,4689,75, 4B, 0000468F,75, 4B
Replaced, 000046D4,21,15, 000046DA,21,15
Matched,4.60E+10,165, A5, 000046EF,165, A5
Replaced, 0000478E,60, 3C,4794,60, 3C
Matched, 000047CA,45, 2D, 000047D0,45, 2D
Replaced, 000047F7,66,42, 000047FD,66,42
Matched,4839,38,26, 0000483F,38,26
Replaced, 0000485F,20,14,4865,20,14
Matched,4873,100,64,4879,100,64
Replaced, 000048D7,23,17, 000048DD,23,17
Matched, 000048EE,35,23, 000048F4,35,23
Replaced,4911,19,13,4917,19,13
Matched,4924,143, 8F, 0000492A,143, 8F
Replaced, 000049B3,6,6, 000049B9,6,6
Matched, 000049B9,38,26, 000049BF,38,26
Replaced, 000049DF,25,19,4.90E+06,25,19
Matched, 000049F8,39,27, 000049FE,39,27
Replaced, 00004A1F,24,18, 00004A25,24,18
Matched, 00004A37,94, 5E, 00004A3D,94, 5E
Replaced, 00004A95,62, 3E, 00004A9B,62, 3E
Matched, 00004AD3,126, 7E, 00004AD9,126, 7E
Replaced, 00004B51,41,29, 00004B57,41,29
Matched, 00004B7A,56,38, 00004B80,56,38
Replaced, 00004BB2,145,91, 00004BB8,145,91
Matched, 00004C43,33,21, 00004C49,33,21
Replaced, 00004C64,16,10, 00004C6A,16,10
Matched, 00004C74,63, 3F, 00004C7A,63, 3F
Replaced, 00004CB3,16,10, 00004CB9,16,10
Matched, 00004CC3,4919,1337, 00004CC9,4919,1337
Inserted, 00005FFA,6,6,6000,0,0
Matched,6000,26192,6650,6000,26192,6650
Replaced, 0000C650,32,20, 0000C650,32,20
Matched, 0000C670,373,175, 0000C670,373,175
Replaced, 0000C7E5,1,1, 0000C7E5,1,1
Matched, 0000C7E6,55,37, 0000C7E6,55,37
Replaced, 0000C81D,1,1, 0000C81D,1,1
Matched, 0000C81E,271, 010F, 0000C81E,271, 010F
Replaced, 0000C92D,9,9, 0000C92D,9,9
Matched, 0000C936,182, B6, 0000C936,182, B6
Replaced, 0000C9EC,33,21, 0000C9EC,33,21
Matched, 0000CA0D,138, 8A, 0000CA0D,138, 8A
Replaced, 0000CA97,33,21, 0000CA97,33,21
Matched, 0000CAB8,197, C5, 0000CAB8,197, C5
Replaced, 0000CB7D,17,11, 0000CB7D,17,11
Matched, 0000CB8E,3692, 0E6C, 0000CB8E,3692, 0E6C
Replaced, 0000D9FA,1,1, 0000D9FA,1,1
Matched, 0000D9FB,120,78, 0000D9FB,120,78
Replaced, 0000DA73,61, 3D, 0000DA73,61, 3D
Matched, 0000DAB0,6502,1966, 0000DAB0,6502,1966
Replaced, 0000F416,10, 0A, 0000F416,10, 0A
Matched, 0000F420,2963, 0B93, 0000F420,2963, 0B93
Replaced, 0000FFB3,45, 2D, 0000FFB3,45, 2D
Matched, 0000FFE0,2699, 0A8B, 0000FFE0,2699, 0A8B
Replaced, 00010A6B,201, C9, 00010A6B,201, C9
Matched, 00010B34,382, 017E, 00010B34,382, 017E
Replaced, 00010CB2,33,21, 00010CB2,33,21
Matched, 00010CD3,41,29, 00010CD3,41,29
Replaced, 00010CFC,1,1, 00010CFC,1,1
Matched, 00010CFD,34,22, 00010CFD,34,22
Replaced, 00010D1F,1,1, 00010D1F,1,1
Matched, 00010D20,954, 03BA, 00010D20,954, 03BA
Replaced, 000110DA,2,2, 000110DA,2,2
Matched, 000110DC,1447, 05A7, 000110DC,1447, 05A7
