StIdx: 00, Value: DE70, Integer: 56944, PC Ptr: 03DE70
StIdx: 01, Value: DE7F, Integer: 56959, PC Ptr: 03DE7F
StIdx: 02, Value: DE95, Integer: 56981, PC Ptr: 03DE95
StIdx: 03, Value: DEAB, Integer: 57003, PC Ptr: 03DEAB
StIdx: 04, Value: DEC1, Integer: 57025, PC Ptr: 03DEC1
StIdx: 05, Value: DEC9, Integer: 57033, PC Ptr: 03DEC9
StIdx: 06, Value: DEDF, Integer: 57055, PC Ptr: 03DEDF
StIdx: 07, Value: DEE7, Integer: 57063, PC Ptr: 03DEE7
StIdx: 08, Value: DEFD, Integer: 57085, PC Ptr: 03DEFD
StIdx: 09, Value: DF05, Integer: 57093, PC Ptr: 03DF05
StIdx: 0A, Value: DF29, Integer: 57129, PC Ptr: 03DF29
StIdx: 0B, Value: DF4D, Integer: 57165, PC Ptr: 03DF4D
StIdx: 0C, Value: DF6A, Integer: 57194, PC Ptr: 03DF6A
StIdx: 0D, Value: DF95, Integer: 57237, PC Ptr: 03DF95
StIdx: 0E, Value: DFCE, Integer: 57294, PC Ptr: 03DFCE
StIdx: 0F, Value: E000, Integer: 57344, PC Ptr: 03E000
StIdx: 10, Value: E039, Integer: 57401, PC Ptr: 03E039
StIdx: 11, Value: E072, Integer: 57458, PC Ptr: 03E072
StIdx: 12, Value: E09D, Integer: 57501, PC Ptr: 03E09D
StIdx: 13, Value: E0C1, Integer: 57537, PC Ptr: 03E0C1
StIdx: 14, Value: E0EC, Integer: 57580, PC Ptr: 03E0EC
StIdx: 15, Value: E125, Integer: 57637, PC Ptr: 03E125
StIdx: 16, Value: E15E, Integer: 57694, PC Ptr: 03E15E
StIdx: BA, Value: E190, Integer: 57744, PC Ptr: 03E190
StIdx: BB, Value: E1DE, Integer: 57822, PC Ptr: 03E1DE
StIdx: 17, Value: E258, Integer: 57944, PC Ptr: 03E258
StIdx: 18, Value: E283, Integer: 57987, PC Ptr: 03E283
StIdx: 19, Value: E299, Integer: 58009, PC Ptr: 03E299
StIdx: 1A, Value: E2AF, Integer: 58031, PC Ptr: 03E2AF
StIdx: 1B, Value: E2C5, Integer: 58053, PC Ptr: 03E2C5
StIdx: 1C, Value: E2E2, Integer: 58082, PC Ptr: 03E2E2
StIdx: BC, Value: E2FF, Integer: 58111, PC Ptr: 03E2FF
StIdx: 1D, Value: E30F, Integer: 58127, PC Ptr: 03E30F
StIdx: 1E, Value: E31E, Integer: 58142, PC Ptr: 03E31E
StIdx: 1F, Value: E349, Integer: 58185, PC Ptr: 03E349
StIdx: 20, Value: E374, Integer: 58228, PC Ptr: 03E374
StIdx: 21, Value: E39F, Integer: 58271, PC Ptr: 03E39F
StIdx: 22, Value: E3CA, Integer: 58314, PC Ptr: 03E3CA
StIdx: 23, Value: E3F5, Integer: 58357, PC Ptr: 03E3F5
StIdx: 24, Value: E420, Integer: 58400, PC Ptr: 03E420
StIdx: 25, Value: E44B, Integer: 58443, PC Ptr: 03E44B
StIdx: 26, Value: E461, Integer: 58465, PC Ptr: 03E461
StIdx: 27, Value: E477, Integer: 58487, PC Ptr: 03E477
StIdx: 28, Value: E48D, Integer: 58509, PC Ptr: 03E48D
StIdx: 29, Value: E4AA, Integer: 58538, PC Ptr: 03E4AA
StIdx: BD, Value: E4C7, Integer: 58567, PC Ptr: 03E4C7
StIdx: 2A, Value: E4FF, Integer: 58623, PC Ptr: 03E4FF
StIdx: BE, Value: E507, Integer: 58631, PC Ptr: 03E507
StIdx: 2B, Value: E50B, Integer: 58635, PC Ptr: 03E50B
StIdx: BF, Value: E513, Integer: 58643, PC Ptr: 03E513
StIdx: 2C, Value: E517, Integer: 58647, PC Ptr: 03E517
StIdx: C0, Value: E51F, Integer: 58655, PC Ptr: 03E51F
StIdx: 2D, Value: E523, Integer: 58659, PC Ptr: 03E523
StIdx: 2E, Value: E532, Integer: 58674, PC Ptr: 03E532
StIdx: 2F, Value: E541, Integer: 58689, PC Ptr: 03E541
StIdx: 30, Value: E550, Integer: 58704, PC Ptr: 03E550
StIdx: C1, Value: E55F, Integer: 58719, PC Ptr: 03E55F
StIdx: 31, Value: E56D, Integer: 58733, PC Ptr: 03E56D
StIdx: 32, Value: E57C, Integer: 58748, PC Ptr: 03E57C
StIdx: 33, Value: E592, Integer: 58770, PC Ptr: 03E592
StIdx: 34, Value: E5A8, Integer: 58792, PC Ptr: 03E5A8
StIdx: 35, Value: E5B7, Integer: 58807, PC Ptr: 03E5B7
StIdx: 36, Value: E5CD, Integer: 58829, PC Ptr: 03E5CD
StIdx: C2, Value: E5DC, Integer: 58844, PC Ptr: 03E5DC
StIdx: 37, Value: E5EA, Integer: 58858, PC Ptr: 03E5EA
StIdx: 38, Value: E5F9, Integer: 58873, PC Ptr: 03E5F9
StIdx: 39, Value: E601, Integer: 58881, PC Ptr: 03E601
StIdx: 3A, Value: E609, Integer: 58889, PC Ptr: 03E609
StIdx: 3B, Value: E642, Integer: 58946, PC Ptr: 03E642
StIdx: 3C, Value: E67B, Integer: 59003, PC Ptr: 03E67B
StIdx: 3D, Value: E683, Integer: 59011, PC Ptr: 03E683
StIdx: 3E, Value: E68B, Integer: 59019, PC Ptr: 03E68B
StIdx: C3, Value: E69A, Integer: 59034, PC Ptr: 03E69A
StIdx: 3F, Value: E6AE, Integer: 59054, PC Ptr: 03E6AE
StIdx: 40, Value: E6B6, Integer: 59062, PC Ptr: 03E6B6
StIdx: 41, Value: E6BE, Integer: 59070, PC Ptr: 03E6BE
StIdx: C4, Value: E6C6, Integer: 59078, PC Ptr: 03E6C6
StIdx: 42, Value: E6CE, Integer: 59086, PC Ptr: 03E6CE
StIdx: 43, Value: E707, Integer: 59143, PC Ptr: 03E707
StIdx: 44, Value: E740, Integer: 59200, PC Ptr: 03E740
StIdx: C5, Value: E779, Integer: 59257, PC Ptr: 03E779
StIdx: 45, Value: E781, Integer: 59265, PC Ptr: 03E781
StIdx: 46, Value: E7BA, Integer: 59322, PC Ptr: 03E7BA
StIdx: 47, Value: E7F3, Integer: 59379, PC Ptr: 03E7F3
StIdx: C6, Value: E82C, Integer: 59436, PC Ptr: 03E82C
StIdx: 48, Value: E834, Integer: 59444, PC Ptr: 03E834
StIdx: 49, Value: E83C, Integer: 59452, PC Ptr: 03E83C
StIdx: 4A, Value: E844, Integer: 59460, PC Ptr: 03E844
StIdx: 4B, Value: E84C, Integer: 59468, PC Ptr: 03E84C
StIdx: 4C, Value: E854, Integer: 59476, PC Ptr: 03E854
StIdx: 4D, Value: E85C, Integer: 59484, PC Ptr: 03E85C
StIdx: 4E, Value: E864, Integer: 59492, PC Ptr: 03E864
StIdx: 4F, Value: E86C, Integer: 59500, PC Ptr: 03E86C
StIdx: 50, Value: E874, Integer: 59508, PC Ptr: 03E874
