StIdx: F7, Value: 0000, Integer: 0, PC Ptr: 110000
StIdx: F6, Value: 0202, Integer: 514, PC Ptr: 110202
StIdx: 00, Value: A1EC, Integer: 41452, PC Ptr: 11A1EC
StIdx: 01, Value: A1FA, Integer: 41466, PC Ptr: 11A1FA
StIdx: 02, Value: A208, Integer: 41480, PC Ptr: 11A208
StIdx: 03, Value: A216, Integer: 41494, PC Ptr: 11A216
StIdx: 04, Value: A224, Integer: 41508, PC Ptr: 11A224
StIdx: 05, Value: A232, Integer: 41522, PC Ptr: 11A232
StIdx: 06, Value: A240, Integer: 41536, PC Ptr: 11A240
StIdx: 07, Value: A24E, Integer: 41550, PC Ptr: 11A24E
StIdx: 08, Value: A25C, Integer: 41564, PC Ptr: 11A25C
StIdx: 09, Value: A26A, Integer: 41578, PC Ptr: 11A26A
StIdx: 0A, Value: A278, Integer: 41592, PC Ptr: 11A278
StIdx: 0B, Value: A286, Integer: 41606, PC Ptr: 11A286
StIdx: 0C, Value: A294, Integer: 41620, PC Ptr: 11A294
StIdx: 0D, Value: A2A2, Integer: 41634, PC Ptr: 11A2A2
StIdx: 0E, Value: A2B0, Integer: 41648, PC Ptr: 11A2B0
StIdx: 0F, Value: A2BE, Integer: 41662, PC Ptr: 11A2BE
StIdx: 10, Value: A2CC, Integer: 41676, PC Ptr: 11A2CC
StIdx: 11, Value: A2DA, Integer: 41690, PC Ptr: 11A2DA
StIdx: 12, Value: A2E8, Integer: 41704, PC Ptr: 11A2E8
StIdx: 13, Value: A2F6, Integer: 41718, PC Ptr: 11A2F6
StIdx: 14, Value: A304, Integer: 41732, PC Ptr: 11A304
StIdx: 15, Value: A315, Integer: 41749, PC Ptr: 11A315
StIdx: 16, Value: A326, Integer: 41766, PC Ptr: 11A326
StIdx: 17, Value: A337, Integer: 41783, PC Ptr: 11A337
StIdx: 18, Value: A348, Integer: 41800, PC Ptr: 11A348
StIdx: 19, Value: A359, Integer: 41817, PC Ptr: 11A359
StIdx: 1A, Value: A36A, Integer: 41834, PC Ptr: 11A36A
StIdx: 1B, Value: A37B, Integer: 41851, PC Ptr: 11A37B
StIdx: 1C, Value: A38C, Integer: 41868, PC Ptr: 11A38C
StIdx: 1D, Value: A39D, Integer: 41885, PC Ptr: 11A39D
StIdx: 1E, Value: A3AE, Integer: 41902, PC Ptr: 11A3AE
StIdx: 1F, Value: A3C4, Integer: 41924, PC Ptr: 11A3C4
StIdx: 20, Value: A3DA, Integer: 41946, PC Ptr: 11A3DA
StIdx: 21, Value: A3F0, Integer: 41968, PC Ptr: 11A3F0
